Date,Close,High,Low,Open,Volume
2/15/2023,161.8910065,161.9550018,160.8110046,161.8910065,0
2/16/2023,161.1459961,161.5019989,160.8359985,161.1459961,0
2/17/2023,160.5310059,161.4530029,160.5019989,160.5310059,0
2/20/2023,161.5500031,161.7109985,161.1730042,161.5500031,0
2/21/2023,161.7019958,163.7409973,161.4279938,161.7019958,0
2/22/2023,163.4360046,163.5469971,162.397995,163.4360046,0
2/23/2023,162.5429993,162.8280029,161.8730011,162.5429993,0
2/24/2023,161.7599945,162.9989929,161.2230072,161.7599945,0
2/27/2023,162.9949951,163.9620056,162.6009979,162.9949951,0
2/28/2023,164.3809967,165.9680023,164.0910034,164.3809967,0
3/1/2023,164.0460052,164.4980011,162.8820038,164.0460052,0
3/2/2023,163.7859955,163.8840027,163.0820007,163.7859955,0
3/3/2023,163.3589935,163.6230011,163.0970001,163.3589935,0
3/6/2023,163.5890045,163.776001,163.0039978,163.5890045,0
3/7/2023,163.5079956,163.852005,162.2160034,163.5079956,0
3/8/2023,162.4750061,162.9660034,161.7310028,162.4750061,0
3/9/2023,162.5910034,162.6100006,161.6289978,162.5910034,0
3/10/2023,162.5910034,164.2030029,161.9420013,162.5910034,0
3/13/2023,162.9980011,163.0050049,160.052002,162.9980011,0
3/14/2023,161.9819946,164.048996,161.871994,161.9819946,0
3/15/2023,163.2929993,164.1380005,159.6889954,163.2929993,0
3/16/2023,160.3869934,161.1880035,158.5829926,160.3869934,0
3/17/2023,161.4859924,162.0939941,160.1790009,161.4859924,0
3/20/2023,161.1959991,161.6970062,158.9859924,161.1959991,0
3/21/2023,161.2680054,162.2339935,160.7579956,161.2680054,0
3/22/2023,161.776001,163.3179932,161.6900024,161.776001,0
3/23/2023,161.0619965,161.8240051,160.6999969,161.0619965,0
3/24/2023,160.6860046,160.6990051,158.3119965,160.6860046,0
3/27/2023,159.8300018,161.6970062,159.6399994,159.7700043,0
3/28/2023,161.3699951,161.7230072,160.7129974,161.3699951,0
3/29/2023,161.5749969,163.4559937,161.5099945,161.5749969,0
3/30/2023,163.220993,164.4190063,163.0220032,163.220993,0
3/31/2023,164.9600067,165.3990021,164.1649933,164.9600067,0
4/3/2023,163.8280029,164.8730011,163.4190063,163.8280029,0
4/4/2023,164.3399963,166.3439941,164.1869965,164.3399963,0
4/5/2023,164.2259979,164.6589966,162.8099976,164.2259979,0
4/6/2023,163.1069946,164.102005,162.9049988,163.1170044,0
4/7/2023,163.7279968,164.2640076,163.6069946,163.7279968,0
4/10/2023,164.197998,165.4819946,164.0160065,164.197998,0
4/11/2023,165.3670044,166.098999,165.1900024,165.3670044,0
4/12/2023,166.0440063,166.5559998,165.4409943,166.0440063,0
4/13/2023,166.2429962,166.8009949,165.4409943,166.2429962,0
4/14/2023,165.9170074,166.2230072,165.473999,165.9170074,0
4/17/2023,166.1109924,166.6289978,165.7109985,166.1109924,0
4/18/2023,166.3509979,166.9830017,166.1670074,166.3509979,0
4/19/2023,166.5269928,167.9349976,166.4810028,166.5269928,0
4/20/2023,167.4069977,167.6900024,166.8439941,167.4069977,0
4/21/2023,166.6820068,166.9850006,165.5359955,166.6820068,0
4/24/2023,166.7299957,167.6690063,166.5529938,166.7299957,0
4/25/2023,167.5839996,167.9329987,165.8769989,167.5839996,0
4/26/2023,165.977005,166.9600067,165.6390076,165.977005,0
4/27/2023,166.4100037,167.3300018,166.3399963,166.4019928,0
4/28/2023,167.0700073,171.0980072,166.9470062,167.0700073,0
5/1/2023,171.2519989,172.0749969,171.0099945,171.2519989,0
5/2/2023,171.6849976,172.3070068,169.9440002,171.6849976,0
5/3/2023,170.2429962,170.3549957,169.1450043,170.2429962,0
5/4/2023,169.0700073,169.522995,168.1490021,169.0700073,0
5/5/2023,168.8280029,170.5980072,168.6900024,168.8280029,0
5/8/2023,170.7480011,171.0559998,170.227005,170.7480011,0
5/9/2023,170.3419952,170.5939941,169.8600006,170.3419952,0
5/10/2023,170.7779999,171.1569977,169.5540009,170.7779999,0
